epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7798,1.37293,3.20414,1.18743,0.57213,0.17043,0.25581,0.15281,1.28792,3.59711,1.21816,0.000158529,0.000158529,0.000158529
2,148.33,1.3181,1.7828,1.16331,0.3416,0.26607,0.29286,0.18259,1.24449,3.36348,1.16555,0.000304635,0.000304635,0.000304635
3,219.975,1.25827,1.42588,1.12853,0.28963,0.3386,0.324,0.21569,1.20914,2.89675,1.17294,0.000438174,0.000438174,0.000438174
4,292.668,1.25007,1.28126,1.12399,0.33336,0.39982,0.3339,0.21782,1.22011,2.82687,1.18433,0.000419451,0.000419451,0.000419451
5,365.656,1.22051,1.16604,1.1049,0.49905,0.30773,0.34922,0.22959,1.19861,2.58742,1.20275,0.000400602,0.000400602,0.000400602
6,438.716,1.18242,1.1381,1.08936,0.54728,0.37761,0.39943,0.25783,1.18326,2.41173,1.19487,0.000381752,0.000381752,0.000381752
7,511.696,1.15827,1.05255,1.07554,0.46551,0.40521,0.39025,0.24913,1.25006,2.40843,1.22472,0.000362902,0.000362902,0.000362902
8,583.783,1.13842,0.96874,1.06349,0.66455,0.37619,0.38833,0.25583,1.1415,2.07578,1.16766,0.000344053,0.000344053,0.000344053
9,656.276,1.12023,0.94279,1.05333,0.75232,0.39894,0.45964,0.28487,1.23096,2.09671,1.19686,0.000325203,0.000325203,0.000325203
10,728.798,1.11849,0.91314,1.03686,0.6359,0.42061,0.4699,0.31581,1.15159,1.90997,1.18151,0.000306354,0.000306354,0.000306354
11,801.547,1.09847,0.87844,1.02037,0.65655,0.44554,0.479,0.30436,1.11073,1.87964,1.13854,0.000287504,0.000287504,0.000287504
12,873.648,1.08861,0.8232,1.03025,0.60195,0.39351,0.41651,0.29636,1.10418,2.04143,1.14496,0.000268654,0.000268654,0.000268654
13,945.965,1.0549,0.7868,1.01011,0.57818,0.36999,0.41729,0.29108,1.08037,1.90251,1.13885,0.000249805,0.000249805,0.000249805
14,1018.56,1.03533,0.77632,0.99485,0.71455,0.42959,0.45922,0.2953,1.10041,1.96718,1.12203,0.000230955,0.000230955,0.000230955
15,1091.42,1.02031,0.73851,0.99247,0.62647,0.3858,0.41216,0.294,1.12059,1.94731,1.14708,0.000212106,0.000212106,0.000212106
16,1164.2,0.97064,0.67264,0.96346,0.65718,0.42636,0.45533,0.2896,1.15749,1.87756,1.1671,0.000193256,0.000193256,0.000193256
17,1236.08,0.96161,0.65105,0.95045,0.57141,0.47472,0.45667,0.30979,1.08166,1.82404,1.11212,0.000174406,0.000174406,0.000174406
18,1308.13,0.94639,0.62768,0.95081,0.71933,0.42654,0.46364,0.30317,1.13689,1.81981,1.15363,0.000155557,0.000155557,0.000155557
19,1380,0.92643,0.59335,0.94216,0.69307,0.35581,0.43774,0.30677,1.07582,1.82214,1.1184,0.000136707,0.000136707,0.000136707
20,1451.96,0.91049,0.58193,0.92783,0.63176,0.34832,0.4222,0.30373,1.0603,1.79195,1.11954,0.000117858,0.000117858,0.000117858
21,1523.4,0.89249,0.55481,0.92571,0.63139,0.37161,0.42261,0.30489,1.06174,1.76958,1.12803,9.9008e-05,9.9008e-05,9.9008e-05
22,1595.26,0.89048,0.55522,0.92226,0.61578,0.37688,0.41004,0.30418,1.05428,1.73691,1.11886,8.01584e-05,8.01584e-05,8.01584e-05
23,1667.09,0.8695,0.52219,0.91773,0.62726,0.36753,0.42669,0.30861,1.07801,1.80788,1.12572,6.13088e-05,6.13088e-05,6.13088e-05
24,1739.45,0.86733,0.51464,0.91359,0.65925,0.36798,0.4382,0.31616,1.06392,1.74907,1.11724,4.24592e-05,4.24592e-05,4.24592e-05
25,1812.48,0.85623,0.50888,0.90735,0.64433,0.37184,0.43577,0.31647,1.06285,1.73222,1.11651,2.36096e-05,2.36096e-05,2.36096e-05
